Packet Number,Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Payload Size
1,15:19:49,156.227.14.33,10.88.103.167,TCP,443,65360,54,40
2,15:19:49,156.227.14.33,10.88.103.167,TCP,443,65360,54,40
3,15:19:50,10.88.103.167,20.184.175.18,TCP,51113,443,55,41
4,15:19:51,20.184.175.18,10.88.103.167,TCP,443,51113,66,52
5,15:19:51,10.88.103.167,20.184.175.18,TCP,58318,443,173,159
6,15:19:51,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
7,15:19:51,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
8,15:19:52,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
9,15:19:52,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
10,15:19:52,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
11,15:19:52,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
12,15:19:52,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
13,15:19:52,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
14,15:19:52,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
15,15:19:52,10.88.103.167,20.184.175.18,TCP,58318,443,1372,1358
16,15:19:52,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
17,15:19:52,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
18,15:19:52,156.227.14.33,10.88.103.167,TCP,443,65377,78,64
19,15:19:52,156.227.14.33,10.88.103.167,TCP,443,65377,54,40
20,15:19:53,10.88.103.167,156.227.14.33,TCP,65377,443,54,40
21,15:19:53,10.88.103.167,156.227.14.33,TCP,65377,443,54,40
22,15:19:53,10.88.103.167,156.227.14.33,TCP,65377,443,54,40
23,15:19:53,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
24,15:19:53,156.227.14.33,10.88.103.167,TCP,443,65377,54,40
25,15:19:53,10.88.103.167,156.227.14.33,TCP,65377,443,54,40
26,15:19:53,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
27,15:19:53,20.184.175.18,10.88.103.167,TCP,443,58318,152,138
28,15:19:53,156.227.14.33,10.88.103.167,TCP,443,65377,54,40
29,15:19:54,156.227.14.33,10.88.103.167,TCP,443,65377,54,40
30,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,152,138
31,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,66,52
32,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,89,75
33,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,173,159
34,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
35,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
36,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
37,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
38,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
39,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
40,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
41,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
42,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,66,52
43,15:19:54,10.88.103.167,40.79.150.120,TCP,58829,443,1183,1169
44,15:19:54,10.88.103.167,40.79.150.120,TCP,58829,443,1330,1316
45,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
46,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
47,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
48,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
49,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
50,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
51,15:19:54,10.88.103.167,20.184.175.18,TCP,58318,443,1336,1322
52,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
53,15:19:54,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
54,15:19:55,10.88.103.167,40.79.150.120,TCP,58829,443,1330,1316
55,15:19:55,156.227.14.33,10.88.103.167,TCP,443,65384,78,64
56,15:19:55,156.227.14.33,10.88.103.167,TCP,443,65384,54,40
57,15:19:55,156.227.14.33,10.88.103.167,TCP,443,65382,54,40
58,15:19:55,156.227.14.33,10.88.103.167,TCP,443,65382,78,64
59,15:19:55,40.79.150.120,10.88.103.167,TCP,443,58829,54,40
60,15:19:55,40.79.150.120,10.88.103.167,TCP,443,58829,101,87
61,15:19:55,156.227.14.33,10.88.103.167,TCP,443,65385,78,64
62,15:19:55,156.227.14.33,10.88.103.167,TCP,443,65385,54,40
63,15:19:55,10.88.103.167,156.227.14.33,TCP,65382,443,54,40
64,15:19:55,10.88.103.167,156.227.14.33,TCP,65384,443,54,40
65,15:19:55,10.88.103.167,156.227.14.33,TCP,65382,443,54,40
66,15:19:55,10.88.103.167,40.79.150.120,TCP,58829,443,713,699
67,15:19:55,10.88.103.167,156.227.14.33,TCP,65385,443,54,40
68,15:19:55,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
69,15:19:55,20.184.175.18,10.88.103.167,TCP,443,58318,54,40
70,15:19:55,20.184.175.18,10.88.103.167,TCP,443,58318,213,199
71,15:19:55,40.79.150.120,10.88.103.167,TCP,443,58829,101,87
72,15:19:55,10.88.103.167,40.79.150.120,TCP,58829,443,66,52
73,15:19:55,10.88.103.167,20.184.175.18,TCP,58318,443,54,40
74,15:19:55,10.88.103.167,40.79.150.120,TCP,58829,443,713,699
75,15:19:55,40.79.150.120,10.88.103.167,TCP,443,58829,66,52
76,15:19:55,40.79.150.120,10.88.103.167,TCP,443,58829,553,539
77,15:19:56,10.88.103.167,40.79.150.120,TCP,58829,443,54,40
78,15:19:56,10.88.103.167,20.184.175.18,TCP,58318,443,167,153
79,15:19:56,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
80,15:19:56,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
81,15:19:56,10.88.103.167,20.184.175.18,TCP,58318,443,1414,1400
